Filename,Modifecationdate,size,Owner,Group,uid,permission
temp/bin/mountpoint,30-Nov-2017,14768,root,root,1,-rwxr-xr-x
temp/bin/mt,8-Mar-2018,20,root,root,1,lrwxrwxrwx
temp/bin/mt-gnu,18-Feb-2016,68824,root,root,1,-rwxr-xr-x
temp/bin/mv,2-Mar-2017,130488,root,root,1,-rwxr-xr-x
temp/bin/nano,15-Feb-2017,208480,root,root,1,-rwxr-xr-x
temp/bin/nc,8-Mar-2018,20,root,root,1,lrwxrwxrwx
temp/bin/nc.openbsd,4-Dec-2012,31248,root,root,1,-rwxr-xr-x
temp/bin/netcat,8-Mar-2018,24,root,root,1,lrwxrwxrwx
temp/bin/netstat,30-Jun-2014,119624,root,root,1,-rwxr-xr-x
temp/bin/networkctl,1-Feb-2018,678496,root,root,1,-rwxr-xr-x
temp/bin/nisdomainname,8-Mar-2018,8,root,root,1,lrwxrwxrwx
temp/bin/ntfs-3g,28-Jan-2017,142032,root,root,1,-rwsr-xr-x
temp/bin/ntfs-3g.probe,28-Jan-2017,10312,root,root,1,-rwxr-xr-x
temp/bin/ntfs-3g.secaudit,28-Jan-2017,67608,root,root,1,-rwxr-xr-x
temp/bin/ntfs-3g.usermap,28-Jan-2017,18424,root,root,1,-rwxr-xr-x
temp/bin/ntfscat,28-Jan-2017,26728,root,root,1,-rwxr-xr-x
temp/bin/ntfscluster,28-Jan-2017,30824,root,root,1,-rwxr-xr-x
temp/bin/ntfscmp,28-Jan-2017,34920,root,root,1,-rwxr-xr-x
temp/bin/ntfsfallocate,28-Jan-2017,34928,root,root,1,-rwxr-xr-x
temp/bin/ntfsfix,28-Jan-2017,39024,root,root,1,-rwxr-xr-x
temp/bin/ntfsinfo,28-Jan-2017,55416,root,root,1,-rwxr-xr-x
temp/bin/ntfsls,28-Jan-2017,31928,root,root,1,-rwxr-xr-x
temp/bin/ntfsmove,28-Jan-2017,30824,root,root,1,-rwxr-xr-x
temp/bin/ntfstruncate,28-Jan-2017,38944,root,root,1,-rwxr-xr-x
temp/bin/ntfswipe,28-Jan-2017,47752,root,root,1,-rwxr-xr-x
temp/bin/open,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/bin/openvt,22-Sep-2016,18968,root,root,1,-rwxr-xr-x
temp/bin/pidof,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/bin/ping,7-May-2014,44168,root,root,1,-rwsr-xr-x
temp/bin/ping6,7-May-2014,44680,root,root,1,-rwsr-xr-x
temp/bin/plymouth,13-Sep-2017,35504,root,root,1,-rwxr-xr-x
temp/bin/ps,21-Nov-2016,97408,root,root,1,-rwxr-xr-x
temp/bin/pwd,2-Mar-2017,31472,root,root,1,-rwxr-xr-x
temp/bin/readlink,2-Mar-2017,39632,root,root,1,-rwxr-xr-x
temp/bin/red,26-Apr-2014,89,root,root,1,-rwxr-xr-x
temp/bin/rm,2-Mar-2017,60272,root,root,1,-rwxr-xr-x
temp/bin/rmdir,2-Mar-2017,39632,root,root,1,-rwxr-xr-x
temp/bin/rnano,15-Feb-2017,4,root,root,1,lrwxrwxrwx
temp/bin/run-parts,26-Jan-2016,19320,root,root,1,-rwxr-xr-x
temp/bin/sed,12-Feb-2016,73424,root,root,1,-rwxr-xr-x
temp/bin/setfacl,7-Feb-2016,36296,root,root,1,-rwxr-xr-x
temp/bin/setfont,22-Sep-2016,39952,root,root,1,-rwxr-xr-x
temp/bin/setupcon,1-Feb-2017,30875,root,root,1,-rwxr-xr-x
temp/bin/sh,8-Mar-2018,4,root,root,1,lrwxrwxrwx
temp/bin/sh.distrib,8-Mar-2018,4,root,root,1,lrwxrwxrwx
temp/bin/sleep,2-Mar-2017,31408,root,root,1,-rwxr-xr-x
temp/bin/ss,7-Dec-2017,115816,root,root,1,-rwxr-xr-x
temp/bin/static-sh,19-Aug-2015,7,root,root,1,lrwxrwxrwx
temp/bin/stty,2-Mar-2017,72496,root,root,1,-rwxr-xr-x
temp/bin/su,17-May-2017,40128,root,root,1,-rwsr-xr-x
temp/bin/sync,2-Mar-2017,31408,root,root,1,-rwxr-xr-x
temp/bin/systemctl,1-Feb-2018,659848,root,root,1,-rwxr-xr-x
temp/bin/systemd,8-Mar-2018,20,root,root,1,lrwxrwxrwx
temp/bin/systemd-ask-password,1-Feb-2018,51656,root,root,1,-rwxr-xr-x
temp/bin/systemd-escape,1-Feb-2018,39344,root,root,1,-rwxr-xr-x
temp/bin/systemd-hwdb,1-Feb-2018,64080,root,root,1,-rwxr-xr-x
temp/bin/systemd-inhibit,1-Feb-2018,281840,root,root,1,-rwxr-xr-x
temp/bin/systemd-machine-id-setup,1-Feb-2018,47544,root,root,1,-rwxr-xr-x
temp/bin/systemd-notify,1-Feb-2018,35248,root,root,1,-rwxr-xr-x
temp/bin/systemd-tmpfiles,1-Feb-2018,133704,root,root,1,-rwxr-xr-x
temp/bin/systemd-tty-ask-password-agent,1-Feb-2018,68032,root,root,1,-rwxr-xr-x
temp/bin/tailf,30-Nov-2017,23144,root,root,1,-rwxr-xr-x
temp/bin/tar,17-Nov-2016,383632,root,root,1,-rwxr-xr-x
temp/bin/tempfile,26-Jan-2016,10416,root,root,1,-rwxr-xr-x
temp/bin/touch,2-Mar-2017,64432,root,root,1,-rwxr-xr-x
temp/bin/true,2-Mar-2017,27280,root,root,1,-rwxr-xr-x
temp/bin/udevadm,1-Feb-2018,449136,root,root,1,-rwxr-xr-x
temp/bin/ulockmgr_server,12-Jul-2016,14328,root,root,1,-rwxr-xr-x
temp/bin/umount,30-Nov-2017,27608,root,root,1,-rwsr-xr-x
temp/bin/uname,2-Mar-2017,31440,root,root,1,-rwxr-xr-x
temp/bin/uncompress,27-Oct-2014,2301,root,root,2,-rwxr-xr-x
temp/bin/unicode_start,22-Sep-2016,2762,root,root,1,-rwxr-xr-x
temp/bin/vdir,2-Mar-2017,126584,root,root,1,-rwxr-xr-x
temp/bin/wdctl,30-Nov-2017,31376,root,root,1,-rwxr-xr-x
temp/bin/which,26-Jan-2016,946,root,root,1,-rwxr-xr-x
temp/bin/whiptail,18-Jan-2016,27432,root,root,1,-rwxr-xr-x
temp/bin/ypdomainname,8-Mar-2018,8,root,root,1,lrwxrwxrwx
temp/bin/zcat,27-Oct-2014,1937,root,root,1,-rwxr-xr-x
temp/bin/zcmp,27-Oct-2014,1777,root,root,1,-rwxr-xr-x
temp/bin/zdiff,27-Oct-2014,5764,root,root,1,-rwxr-xr-x
temp/bin/zegrep,27-Oct-2014,140,root,root,1,-rwxr-xr-x
temp/bin/zfgrep,27-Oct-2014,140,root,root,1,-rwxr-xr-x
temp/bin/zforce,27-Oct-2014,2131,root,root,1,-rwxr-xr-x
temp/bin/zgrep,27-Oct-2014,5938,root,root,1,-rwxr-xr-x
temp/bin/zless,27-Oct-2014,2037,root,root,1,-rwxr-xr-x
temp/bin/zmore,27-Oct-2014,1910,root,root,1,-rwxr-xr-x
temp/bin/znew,27-Oct-2014,5047,root,root,1,-rwxr-xr-x
temp/sbin/acpi_available,1-May-2014,112,root,root,1,-rwxr-xr-x
temp/sbin/agetty,30-Nov-2017,44104,root,root,1,-rwxr-xr-x
temp/sbin/apm_available,1-May-2014,125,root,root,1,-rwxr-xr-x
temp/sbin/apparmor_parser,1-Feb-2018,1287088,root,root,1,-rwxr-xr-x
temp/sbin/badblocks,30-Oct-2015,27224,root,root,1,-rwxr-xr-x
temp/sbin/blkdiscard,30-Nov-2017,23080,root,root,1,-rwxr-xr-x
temp/sbin/blkid,30-Nov-2017,81296,root,root,1,-rwxr-xr-x
temp/sbin/blockdev,30-Nov-2017,35624,root,root,1,-rwxr-xr-x
temp/sbin/bridge,7-Dec-2017,64240,root,root,1,-rwxr-xr-x
temp/sbin/capsh,24-Oct-2015,19032,root,root,1,-rwxr-xr-x
temp/sbin/cfdisk,30-Nov-2017,86408,root,root,1,-rwxr-xr-x
temp/sbin/chcpu,30-Nov-2017,23056,root,root,1,-rwxr-xr-x
temp/sbin/crda,18-Nov-2014,10552,root,root,1,-rwxr-xr-x
temp/sbin/cryptdisks_start,6-Sep-2017,1134,root,root,1,-rwxr-xr-x
temp/sbin/cryptdisks_stop,6-Sep-2017,1191,root,root,1,-rwxr-xr-x
temp/sbin/cryptsetup,6-Sep-2017,59320,root,root,1,-rwxr-xr-x
temp/sbin/cryptsetup-reencrypt,6-Sep-2017,41264,root,root,1,-rwxr-xr-x
temp/sbin/ctrlaltdel,30-Nov-2017,10592,root,root,1,-rwxr-xr-x
temp/sbin/debugfs,30-Oct-2015,150264,root,root,1,-rwxr-xr-x
temp/sbin/depmod,8-Mar-2018,9,root,root,1,lrwxrwxrwx
temp/sbin/dhclient,25-May-2017,487248,root,root,1,-rwxr-xr-x
temp/sbin/dhclient-script,25-May-2017,15219,root,root,1,-rwxr-xr-x
temp/sbin/dmeventd,16-Apr-2016,43080,root,root,1,-rwxr-xr-x
temp/sbin/dmsetup,16-Apr-2016,149520,root,root,1,-rwxr-xr-x
temp/sbin/dosfsck,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/dosfslabel,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/dumpe2fs,30-Oct-2015,23136,root,root,1,-rwxr-xr-x
temp/sbin/e2fsck,30-Oct-2015,256952,root,root,1,-rwxr-xr-x
temp/sbin/e2image,30-Oct-2015,31488,root,root,1,-rwxr-xr-x
temp/sbin/e2label,8-Mar-2018,7,root,root,1,lrwxrwxrwx
temp/sbin/e2undo,30-Oct-2015,10656,root,root,1,-rwxr-xr-x
temp/sbin/ethtool,1-Apr-2016,273784,root,root,1,-rwxr-xr-x
temp/sbin/fatlabel,26-May-2016,55376,root,root,1,-rwxr-xr-x
temp/sbin/fdisk,30-Nov-2017,109632,root,root,1,-rwxr-xr-x
temp/sbin/findfs,30-Nov-2017,10576,root,root,1,-rwxr-xr-x
temp/sbin/fsadm,16-Apr-2016,14410,root,root,1,-rwxr-xr-x
temp/sbin/fsck,30-Nov-2017,44184,root,root,1,-rwxr-xr-x
temp/sbin/fsck.cramfs,30-Nov-2017,35608,root,root,1,-rwxr-xr-x
temp/sbin/fsck.ext2,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/fsck.ext3,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/fsck.ext4,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/fsck.ext4dev,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/fsck.fat,26-May-2016,59472,root,root,1,-rwxr-xr-x
temp/sbin/fsck.minix,30-Nov-2017,76896,root,root,1,-rwxr-xr-x
temp/sbin/fsck.msdos,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/fsck.nfs,5-Feb-2016,333,root,root,1,-rwxr-xr-x
temp/sbin/fsck.vfat,26-May-2016,8,root,root,1,lrwxrwxrwx
temp/sbin/fsck.xfs,8-Sep-2017,433,root,root,1,-rwxr-xr-x
temp/sbin/fsfreeze,30-Nov-2017,10616,root,root,1,-rwxr-xr-x
temp/sbin/fstab-decode,5-Feb-2016,6360,root,root,1,-rwxr-xr-x
temp/sbin/fstrim,30-Nov-2017,39904,root,root,1,-rwxr-xr-x
temp/sbin/getcap,24-Oct-2015,10520,root,root,1,-rwxr-xr-x
temp/sbin/getpcaps,24-Oct-2015,10488,root,root,1,-rwxr-xr-x
temp/sbin/getty,8-Mar-2018,6,root,root,1,lrwxrwxrwx
temp/sbin/halt,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/sbin/hdparm,9-Apr-2016,122808,root,root,1,-rwxr-xr-x
temp/sbin/hwclock,30-Nov-2017,56232,root,root,1,-rwxr-xr-x
temp/sbin/ifconfig,30-Jun-2014,68040,root,root,1,-rwxr-xr-x
temp/sbin/ifdown,8-Mar-2018,4,root,root,1,lrwxrwxrwx
temp/sbin/ifenslave,24-Jul-2015,3522,root,root,1,-rwxr-xr-x
temp/sbin/ifenslave-2.6,24-Jul-2015,9,root,root,1,lrwxrwxrwx
temp/sbin/ifquery,8-Mar-2018,4,root,root,1,lrwxrwxrwx
temp/sbin/ifup,9-Dec-2016,67536,root,root,1,-rwxr-xr-x
temp/sbin/init,8-Mar-2018,20,root,root,1,lrwxrwxrwx
temp/sbin/insmod,8-Mar-2018,9,root,root,1,lrwxrwxrwx
temp/sbin/installkernel,26-Jan-2016,2638,root,root,1,-rwxr-xr-x
temp/sbin/ip,8-Mar-2018,7,root,root,1,lrwxrwxrwx
temp/sbin/ip6tables,19-Feb-2016,13,root,root,1,lrwxrwxrwx
temp/sbin/ip6tables-restore,19-Feb-2016,13,root,root,1,lrwxrwxrwx
temp/sbin/ip6tables-save,19-Feb-2016,13,root,root,1,lrwxrwxrwx
temp/sbin/ipmaddr,30-Jun-2014,18760,root,root,1,-rwxr-xr-x
temp/sbin/iptables,19-Feb-2016,13,root,root,1,lrwxrwxrwx
temp/sbin/iptables-restore,19-Feb-2016,13,root,root,1,lrwxrwxrwx
temp/sbin/iptables-save,19-Feb-2016,13,root,root,1,lrwxrwxrwx
temp/sbin/iptunnel,30-Jun-2014,22864,root,root,1,-rwxr-xr-x
temp/sbin/iscsiadm,26-Jul-2017,754952,root,root,1,-rwxr-xr-x
temp/sbin/iscsid,26-Jul-2017,783984,root,root,1,-rwxr-xr-x
temp/sbin/iscsi_discovery,12-Sep-2013,5284,root,root,1,-rwxr-xr-x
temp/sbin/iscsi-iname,26-Jul-2017,14328,root,root,1,-rwxr-xr-x
temp/sbin/iscsistart,26-Jul-2017,329000,root,root,1,-rwxr-xr-x
temp/sbin/isosize,30-Nov-2017,23072,root,root,1,-rwxr-xr-x
temp/sbin/iw,24-Oct-2014,177792,root,root,1,-rwxr-xr-x
temp/sbin/kbdrate,22-Sep-2016,10616,root,root,1,-rwxr-xr-x
temp/sbin/killall5,5-Feb-2016,19056,root,root,1,-rwxr-xr-x
temp/sbin/ldconfig,15-Jan-2018,387,root,root,1,-rwxr-xr-x
temp/sbin/ldconfig.real,15-Jan-2018,996512,root,root,1,-rwxr-xr-x
temp/sbin/logsave,30-Oct-2015,10600,root,root,1,-rwxr-xr-x
temp/sbin/losetup,30-Nov-2017,72920,root,root,1,-rwxr-xr-x
temp/sbin/lsmod,8-Mar-2018,9,root,root,1,lrwxrwxrwx
temp/sbin/lvchange,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvconvert,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvcreate,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvdisplay,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvextend,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvm,16-Apr-2016,1521152,root,root,1,-rwxr-xr-x
temp/sbin/lvmchange,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvmconf,16-Apr-2016,12688,root,root,1,-rwxr-xr-x
temp/sbin/lvmconfig,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvmdiskscan,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvmdump,16-Apr-2016,9538,root,root,1,-rwxr-xr-x
temp/sbin/lvmetad,16-Apr-2016,51336,root,root,1,-rwxr-xr-x
temp/sbin/lvmpolld,16-Apr-2016,60952,root,root,1,-rwxr-xr-x
temp/sbin/lvmsadc,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvmsar,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvreduce,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvremove,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvrename,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvresize,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvs,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/lvscan,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/MAKEDEV,27-Mar-2017,52466,root,root,1,-rwxr-xr-x
temp/sbin/mdadm,8-Nov-2017,513216,root,root,1,-rwxr-xr-x
