Filename,Modifecationdate,size,Owner,Group,uid,permission
temp/sbin/rtmon,7-Dec-2017,43608,root,root,1,-rwxr-xr-x
temp/sbin/runlevel,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/sbin/runuser,30-Nov-2017,31728,root,root,1,-rwxr-xr-x
temp/sbin/setcap,24-Oct-2015,10544,root,root,1,-rwxr-xr-x
temp/sbin/setvtrgb,22-Sep-2016,10664,root,root,1,-rwxr-xr-x
temp/sbin/sfdisk,30-Nov-2017,94280,root,root,1,-rwxr-xr-x
temp/sbin/shadowconfig,17-May-2017,885,root,root,1,-rwxr-xr-x
temp/sbin/shutdown,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/sbin/slattach,30-Jun-2014,33928,root,root,1,-rwxr-xr-x
temp/sbin/start-stop-daemon,25-Oct-2017,32528,root,root,1,-rwxr-xr-x
temp/sbin/sulogin,30-Nov-2017,44152,root,root,1,-rwxr-xr-x
temp/sbin/swaplabel,30-Nov-2017,14776,root,root,1,-rwxr-xr-x
temp/sbin/swapoff,30-Nov-2017,19024,root,root,1,-rwxr-xr-x
temp/sbin/swapon,30-Nov-2017,44288,root,root,1,-rwxr-xr-x
temp/sbin/switch_root,30-Nov-2017,14808,root,root,1,-rwxr-xr-x
temp/sbin/sysctl,21-Nov-2016,23048,root,root,1,-rwxr-xr-x
temp/sbin/tc,7-Dec-2017,333864,root,root,1,-rwxr-xr-x
temp/sbin/telinit,8-Mar-2018,14,root,root,1,lrwxrwxrwx
temp/sbin/tipc,7-Dec-2017,43400,root,root,1,-rwxr-xr-x
temp/sbin/tune2fs,30-Oct-2015,77368,root,root,1,-rwxr-xr-x
temp/sbin/udevadm,8-Mar-2018,12,root,root,1,lrwxrwxrwx
temp/sbin/unix_chkpwd,16-Mar-2016,35600,shadow,root,1,-rwxr-sr-x
temp/sbin/unix_update,16-Mar-2016,35536,root,root,1,-rwxr-xr-x
temp/sbin/ureadahead,24-Feb-2015,35168,root,root,1,-rwxr-xr-x
temp/sbin/vconfig,21-Sep-2017,10488,root,root,1,-rwxr-xr-x
temp/sbin/veritysetup,6-Sep-2017,32672,root,root,1,-rwxr-xr-x
temp/sbin/vgcfgbackup,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgcfgrestore,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgchange,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgck,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgconvert,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgcreate,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgdisplay,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgexport,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgextend,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgimport,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgimportclone,16-Apr-2016,9625,root,root,1,-rwxr-xr-x
temp/sbin/vgmerge,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgmknodes,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgreduce,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgremove,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgrename,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgs,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgscan,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/vgsplit,16-Apr-2016,3,root,root,1,lrwxrwxrwx
temp/sbin/wipefs,30-Nov-2017,31464,root,root,1,-rwxr-xr-x
temp/sbin/xfs_repair,8-Sep-2017,544792,root,root,1,-rwxr-xr-x
temp/sbin/xtables-multi,19-Feb-2016,87832,root,root,1,-rwxr-xr-x
temp/sbin/zramctl,30-Nov-2017,77064,root,root,1,-rwxr-xr-x
